date,tmax,tmin,precip_mm
2026-01-23,23.0,13.1,0.0
2026-01-24,24.0,14.0,0.0
2026-01-25,24.8,15.9,0.0
2026-01-26,24.0,16.4,0.0
2026-01-27,25.4,14.7,0.0
2026-01-28,24.6,15.4,0.0
2026-01-29,24.4,12.9,0.0
2026-01-30,24.5,16.5,0.0
2026-01-31,25.3,17.2,0.0
2026-02-01,21.5,15.5,0.1
2026-02-02,23.8,14.6,0.0
2026-02-03,23.7,14.1,0.0
2026-02-04,26.2,16.5,0.0
2026-02-05,27.1,17.6,0.2
2026-02-06,26.8,19.8,0.0
2026-02-07,24.4,16.1,0.0
2026-02-08,19.5,12.6,0.2
2026-02-09,21.0,12.0,0.0
2026-02-10,23.8,12.4,0.0
